InsuranceData_@generatedOn,InsuranceData_@source,Policy_@policyNumber,Policy_@product,Policy_@status,EffectiveDate,ExpiryDate,Premium_@currency,Premium,PaymentFrequency,PolicyHolder_@id,Given,Middle,Family,DateOfBirth,Gender,Phone_@type,Phone,Email,Line1,City,State,PostalCode,Country,Occupation,KYC_@idType,KYC,InsuredItem_@type,InsuredItem_@itemId,Make,Model,RegistrationNo,ManufactureYear,EngineNo,ChassisNo,CoverageType_@code,CoverageType,SumInsured_@currency,SumInsured,Deductible_@currency,Deductible,Rider_@code,Rider,Coverage_@id,Type,Limit_@currency,Limit,Claim_@claimId,Claim_@reportedDate,Claim_@status,Date,Location,Description,Name,Relation,Assessment_@assessor,Assessment_@assessedOn,EstimatedLoss_@currency,EstimatedLoss,ApprovedAmount_@currency,ApprovedAmount,Notes,Document_@id,Document_@type,Document,Payment_@paymentId,Payment_@method,Payment_@date,Payment_@amount,Payment_@currency,TransactionRef,PaidTo,SettledOn,SettlementMode,Agent_@agentId,Agency,CreatedBy,CreatedOn,LastUpdatedBy,LastUpdatedOn,Dependent_@id,DOB,Hospital,From,To,Diagnosis,Bill_@id,Bill_@date,Bill_@amount,Bill_@currency,Bill,Beneficiary_@id,Beneficiary_@type,Percent
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-01,Own Damage,INR,800000.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1001,FIR,fir_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-01,Own Damage,INR,800000.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1002,Estimate,estimate_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-01,Own Damage,INR,800000.00,CL-9002,2025-08-02,Open,2025-08-01,Gachibowli,"Single vehicle hit pothole, tyre and rim damage",Priya Verma,,QuickAssess,2025-08-03,INR,18000.00,,,Tyre replacement and balancing,,,,,,,,,,,,,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-02,Third Party Liability,INR,7500000.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1001,FIR,fir_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-02,Third Party Liability,INR,7500000.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1002,Estimate,estimate_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-02,Third Party Liability,INR,7500000.00,CL-9002,2025-08-02,Open,2025-08-01,Gachibowli,"Single vehicle hit pothole, tyre and rim damage",Priya Verma,,QuickAssess,2025-08-03,INR,18000.00,,,Tyre replacement and balancing,,,,,,,,,,,,,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-03,two Damage,INR,100.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1001,FIR,fir_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-03,two Damage,INR,100.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1002,Estimate,estimate_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-03,two Damage,INR,100.00,CL-9002,2025-08-02,Open,2025-08-01,Gachibowli,"Single vehicle hit pothole, tyre and rim damage",Priya Verma,,QuickAssess,2025-08-03,INR,18000.00,,,Tyre replacement and balancing,,,,,,,,,,,,,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
2025-09-23T00:00:00+05:30,sample-generator,POL-2025-0001,PrivateMotor,Active,2025-03-01,2026-02-28,INR,12500.00,Annual,PH-1001,Amit,Kumar,Sharma,1988-07-15,M,mobile,+91-9123456780,priya.verma@securelife.example,12 Silver Oaks,Hyderabad,Telangana,500081,IN,Software Engineer,Aadhaar,XXXX-XXXX-1234,Vehicle,V-5001,Toyota,Corolla Altis,TS09AB1234,2019,EN1234567890,CH9876543210,COM,Comprehensive,INR,800000.00,INR,5000.00,ZeroDep,Zero Depreciation,COV-04,Sample Cvrg,INR,1000000.00,CL-9001,2025-06-18,Settled,2025-06-15,Secunderabad,Rear-end collision at traffic signal,Priya Verma,Third Party,InsureAssess Pvt Ltd,2025-06-20,INR,42000.00,INR,40000.00,Minor bumper and tail-light replacement,D-1001,FIR,fir_CL-9001.pdf,P-7001,NEFT,2025-06-25,40000.00,INR,TXN20250625001,Ravi Kumar,2025-06-25,Reimbursement,AG-3001,SecureLife Brokers,system,2025-03-01T09:12:00,agent_user,2025-08-05T11:20:00,,,,,,,,,,,,,,
